ticket_id,created_date,assigned_to,priority,status,category,team,first_response_date,resolution_date,customer_tier,escalated,escalation_date,satisfaction_score
T-215470140285585,2025-08-02T21:24:40.000Z,Unassigned,Medium,Open,General,Customer Success,,,,false,,
T-215470140280503,2025-08-02T21:23:41.000Z,Unassigned,Medium,Open,General,Customer Success,,,,false,,
T-215470140260908,2025-08-02T21:18:33.000Z,Unassigned,Medium,Open,General,Customer Success,,,,false,,
T-215470140256484,2025-08-02T21:17:25.000Z,Unassigned,Medium,Open,General,Customer Success,,,,false,,
T-215470139136361,2025-08-02T17:28:58.000Z,Unassigned,Medium,Open,General,Customer Success,,,,false,,
T-215470139131021,2025-08-02T17:27:56.000Z,Unassigned,Medium,Open,General,Customer Success,,,,false,,
T-215470139063806,2025-08-02T17:15:22.000Z,Susan,Medium,Resolved,General,Unassigned,,2025-08-02T17:19:06.000Z,,false,,
T-215470134094445,2025-08-02T03:47:39.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-02T03:59:06.000Z,2025-08-02T03:51:58.000Z,,false,,
T-215470134035803,2025-08-02T03:32:30.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-08-02T04:20:58.000Z,,false,,
T-215470134032538,2025-08-02T03:31:31.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-08-02T04:21:07.000Z,,false,,
T-215470133161361,2025-08-02T00:20:02.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-02T04:19:19.000Z,,,false,,
T-215470133135925,2025-08-02T00:14:56.000Z,Unassigned,Medium,Resolved,Failed Orders,Unassigned,,2025-08-02T04:22:32.000Z,,false,,
T-215470131137569,2025-08-01T22:03:04.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T22:48:40.000Z,,,false,,
T-215470130598972,2025-08-01T21:07:49.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T21:48:19.000Z,,,false,,
T-215470130124480,2025-08-01T20:33:07.000Z,Unassigned,Medium,Open,Failed Orders,Customer Success,2025-08-01T22:49:47.000Z,,,false,,
T-215470127105853,2025-08-01T17:57:51.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-08-01T18:04:51.000Z,,false,,
T-215470126340897,2025-08-01T17:04:46.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-08-01T17:05:17.000Z,,false,,
T-215470125942272,2025-08-01T16:35:53.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T17:00:58.000Z,,,false,,
T-215470125684020,2025-08-01T16:15:12.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T19:34:59.000Z,,,false,,
T-215470125521111,2025-08-01T16:05:59.000Z,Susan,Medium,Resolved,General,Unassigned,,2025-08-01T16:09:27.000Z,,false,,
T-215470125456220,2025-08-01T16:01:44.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T18:02:56.000Z,,,false,,
T-215470125019976,2025-08-01T15:22:33.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T16:19:01.000Z,,,false,,
T-215470124915954,2025-08-01T15:15:50.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-08-01T15:22:43.000Z,,false,,
T-215470124905514,2025-08-01T15:14:40.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-08-01T15:22:29.000Z,,false,,
T-215470124772141,2025-08-01T15:08:32.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-08-01T15:15:22.000Z,2025-08-01T15:16:33.000Z,,false,,
T-215470124720872,2025-08-01T15:06:20.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-08-01T15:07:50.000Z,,false,,
T-215470123372347,2025-08-01T13:44:33.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-08-01T13:56:46.000Z,2025-08-01T13:57:40.000Z,,false,,
T-215470120250335,2025-08-01T12:09:38.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-08-01T12:14:42.000Z,,false,,
T-215470119159811,2025-08-01T10:30:10.000Z,Unassigned,Medium,Open,Failed Orders,Customer Success,,,,false,,
T-215470111082832,2025-07-31T19:46:21.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T12:55:54.000Z,,,false,,
T-215470117999382,2025-08-01T08:14:50.000Z,Unassigned,Medium,Open,Failed Orders,Customer Success,2025-08-01T11:52:42.000Z,,,false,,
T-215470117870214,2025-08-01T08:04:52.000Z,Susan,Medium,Resolved,General,Unassigned,,2025-08-01T08:08:43.000Z,,false,,
T-215470115730243,2025-08-01T04:23:52.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T13:13:53.000Z,,,false,,
T-215470115569882,2025-08-01T04:05:03.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T11:30:47.000Z,,,false,,
T-215470114200154,2025-08-01T00:53:07.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T11:45:58.000Z,,,false,,
T-215470113751714,2025-08-01T00:11:45.000Z,Unassigned,Medium,Open,General,Customer Success,,,,false,,
T-215470113626310,2025-07-31T23:59:37.000Z,Unassigned,Medium,Open,Failed Orders,Customer Success,2025-08-01T00:28:54.000Z,,,false,,
T-215470113581711,2025-07-31T23:51:20.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-08-01T00:30:52.000Z,2025-08-01T02:18:38.000Z,,false,,
T-215470113581545,2025-07-31T23:51:18.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-08-01T00:31:57.000Z,,false,,
T-215470113565773,2025-07-31T23:48:12.000Z,Unassigned,Medium,Resolved,General,Unassigned,2025-08-01T00:28:09.000Z,2025-08-01T00:28:17.000Z,,false,,
T-215470112756593,2025-07-31T22:07:46.000Z,Susan,Medium,Resolved,General,Unassigned,,2025-07-31T22:11:03.000Z,,false,,
T-215470112313995,2025-07-31T21:18:22.000Z,Unassigned,Medium,Open,General,Customer Success,2025-08-01T10:59:04.000Z,,,false,,
T-215470111756623,2025-07-31T20:20:00.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-07-31T22:46:46.000Z,,false,,
T-215470110898426,2025-07-31T19:30:59.000Z,Unassigned,Medium,Open,General,Customer Success,2025-07-31T22:45:47.000Z,,,false,,
